Date,Patrol Time,Steward name,High Temperature,Weather,Number of observed gorge users,total Number of people obseved violating a rule,Number of person interactions: Alternatives,Number of person interactions: Warnings,Number of person interactions: Directions,Total number of person interactions (Daily),Number of contacts to CUPD,Number of People above Ithaca Falls?,Description of Interactions,Description of notable events,,,,,,,,,,,,
6/17/2023,3pm-6:30pm,Kaitlyn,75,Sunny,126,2,0,1,0,1,0,0,"1 Saw a guy standing under falls in cascadilla but he was already walking out when I arrived and I wasn't able to get down the stairs in time to catch up with him. 2 Saw 3 people standing near rock wall under falls in casc, whistled to get them out and explained why they couldn't be there. They were super nice, said they were actually just heading out and that they were sorry, they'd been there all day.",,,,,,,,,,,,,
6/18/2023,11-3,Ally,72,sunny,280,9,1,3,3,13,0,,"3 seperate groups taking pictures standing in the water falls in casc, two boys taking picutures on planet b signs- had to treaten to call the police, couple of people needed less steep alternatives to casc",I cleared out the dam in casc!,,,,,,,,,,,,
6/19/2023,11:00 AM,Ming,80,Cloudy,123,0,0,0,0,0,0,0,none,"Huge school group walked Beebe Lake;
Bike got a flat :(",,,,,,,,,,,,
6/20/2023,11-3,Ally,81,Sunny,131,5,1,2,0,3,0,0,"had to ask guy twice to move in casc- he was rude, church group tried to climb falls in casc- they were nice",Saw a SNAKE!!!,,,,,,,,,,,,
6/20/2023,3pm-7pm,Maddy H,80,"Partly cloudy, sometimes sprinkling",46,0,0,0,0,0,0,0,N/A I don't think many people were out because it was supposed to rain,,,,,,,,,,,,,
6/21/2023,11-3AM,Marina M,79,sunny,49,2,0,1,0,1,0,0,2 children under the rocks on Cascadilla,,,,,,,,,,,,,
6/21/2023,3pm-7pm,Maddy H,79,Sunny,99,1,0,1,0,1,0,0,one person on rocks essentially directly below suspension bridge,Witnessed a very floofy dog in pursuit of a very scared chipmunk,,,,,,,,,,,,
6/22/2023,11am-3pm,Maddie R,76,Sunny,63,0,1,0,1,0,0,0,I helped an elderly couple find the easiest way out of the trail (they were worried about the incline) and informed someone about the partial closing of casc,Got very close to a goose and met some very adorable dogs,,,,,,,,,,,,
6/22/2023,3-7pm,Kaitlyn,75,"Partly cloudy, humid",48,0,0,0,0,0,0,0,no interactions today,,,,,,,,,,,,,
6/23/2023,11am-3pm,Marina M,76,cloudy,93,5,0,2,0,4,0,0,"1 man trying to climb around the barrier on lower Cascadilla, asked him to turn around; group of 4 children under the bridge on upper Cascadilla, talked with kids and guardians",Osprey with a fish by suspension bridge,,,,,,,,,,,,
6/23/2023,3-7pm,Maddie R,76,"cloudy, then rainy",61,4,1,0,0,7,0,0,"family swimming in casc, told them where else they could go. walked up casc with a man asking about what we do and where to hike",,,,,,,,,,,,,
6/24/2023,11am-3pm,Maddie R,75,"humid, intermittent drizzling",114,5,1,2,2,6,0,0,"2 people outside of casc fenced area warned, 1 family swimming in casc given alternative swim locations, gave directions to the same 2 people multiple times throughout my shift and gave my opinion on the best trails/views",sooooo buggy,,,,,,,,,,,,
6/24/2023,3pm-5pm,Nour,75,"humid, rainy",37,0,0,0,0,1,0,0,took pictures for a family,saw teenage geese! ended early because it was starting to rain + I heard thunder (didn't want to get sick before jul4 weekend),,,,,,,,,,,,
6/25/2023,11am-3pm,Ainsley R,82,hot hot hot and humid,136,2,3,2,1,3,0,0,person taking pick below suspension bridge. person fishing above bebe lake goarge.,saw jogger get attacked by goose,,,,,,,,,,,,
6/25/2023,3-7pm,Kaitlyn,80,HOT scattered clouds started to rain about 6:30,58,3,3,0,0,3,0,0,"1 Saw 2 guys walking toward the amphitheter and falls in lower casc from the easy walk off and let them know they couldn't go up by the falls but they could hang out down by the easy walk off, they apologized and returned to the trail, 2 Saw a woman and 4 children climb in near the first fall in casc let her know they couldn't be on, above or below the falls, she said she knew and they would move away. 3. Saw 2 people drinking twisted tea and smoking in the first fall in lower casc, let them know they couldn't be there and they walked away, when I came back they had moved back to underneath the fall, I asked them to move away again and they came out and started hiking up the trail. Not long after that it started pouring so hopefully they just left.",Can we get moisture wicking shirts? it was SO HUMID and that cotton doesn't dry out,,,,,,,,,,,,
6/26/2023,11:00 AM,Ming,80,Humid with dry lightning,162,0,0,0,3,3,0,0,"Lots of family tours today, good thing it didn't end up raining!
Just a few interactions helping out with directions. 
One group was chilling in Lower Falls and let them know they couldn't go up further. Maybe they were smoking but didn't see it, only smelled it.",The bike up E Buffalo is pretty steep!,,,,,,,,,,,,
6/27/2023,11am-3pm,Maddie R,78,Sunny,56,2,0,2,0,3,0,0,"One person beyond the fence at casc, biker on trail, took a picture for a family",water was super high after the rain yesterday!,,,,,,,,,,,,
6/28/2023,11am-3pm,Maddie R,65,"smokey, chilly, cloudy",36,0,0,0,0,0,0,0,N/A,air got worse throughout the day,,,,,,,,,,,,
6/28/2023,3pm-6pm,Vada,63,Rainy and smokey,5,0,0,0,0,1,0,0,"Man (mask, no shirt) informed me (shirt, no mask) that there was an air quality warning",,,,,,,,,,,,,
6/29/2023,11am-1pm,Maddie R,73,sunny but smokey,27,1,0,1,0,1,0,0,asked guy reading on rocks past fence in casc to move,finished shift early because the air was giving me a headache,,,,,,,,,,,,
6/30/2023,11am-3pm,Vada,86,sunny with smoke,21,0,0,0,0,1,0,0,elderly man told his wife to stay out of my way because I am staff,,,,,,,,,,,,,
6/30/2023,4pm-5:30pm,Mark,85,Sunny and smoke,47,4,,4,1,,0,0,"Four people off trail is cascadilla, two at the bottom, 2 at the top",,,,,,,,,,,,,
7/1/2023,4pm-7pm,Vada,72,humid and smokey,45,0,0,0,0,2,0,0,Told some folks who were close to passing the railing not to pass it,Started late dug to wegman's card debacle,,,,,,,,,,,,
7/2/2023,3-5pm,Kaitlyn,80,Drizzle turned to all out rain by 5pm,27,0,0,0,0,0,0,0,"It started pouring by the time I got to casc, mostly people hurrying out at that point",,,,,,,,,,,,,
7/3/2023,11:00 AM,Ming,75,"Humid, some downpours
Fast moving rapids",116,0,0,0,0,1,0,0,Guy in car completely went through the College ave construction,Bike was intially messed up - chain was twisted,,,,,,,,,,,,
7/3/2023,11am-2pm,Maddie R,77,Sunny then rainy,162,3,0,3,1,4,0,0,people beyond fence in casc,casc back open! the people were flocking! until the rain :(,,,,,,,,,,,,
7/4/2023,11am-3pm,Maddie R,80,Sunny,71,0,0,0,0,0,0,0,N/A,,,,,,,,,,,,,
7/4/2023,3pm-7pm,Maddy H,80,Sunny,178,15,0,15,3,18,0,0,"All issues were in casc. Family of 5 left their ~7 y.o. daughter on the other side of a waterfall in the water, she was crying and alone when I showed up. I had run into the dad with the son earlier, they were attempting to scale another waterfall. Other than that just a lot of students trying to take swimsuit pics or swim in precarious places. One woman asked me about geology of gorge, another asked where the slope was.","Water so high after the rain, falls at end of beebe ripping. So many people out doing silly things.",,,,,,,,,,,,
7/5/2023,11am-3pm,Maddie R,86,Sunny,96,9,0,9,0,9,0,0,All people in restricted casc areas,Lots of ppl trying to cool down in the water because of the heat,,,,,,,,,,,,
7/5/2023,3pm-7pm,Maddy H,86,Sunny,103,2,0,2,0,2,0,0,"People in the big bend ~3/4 down casc, dog off leash",Figured out where mr. woodchuck near the suspension bridge lives,,,,,,,,,,,,
7/6/2023,11am-7pm,Maddy H,91,Sunny,194,7,0,7,0,7,0,0,"Group of people at the end of casc, people near base of ithaca falls, all others in different restricted parts of casc",,,,,,,,,,,,,
7/7/2023,11am-3pm,Maddie R,82,sunny then rainy,49,0,0,0,1,1,0,0,gave someone directions to beebe lake,saw the groundhog(s?) many times today,,,,,,,,,,,,
7/9/2023,3PM-7PM,Phillip,80,Cloudy then rainy,58,0,0,0,0,0,0,0,Everyone was happily minding their own cloudy day on the gorges today,Excitedly made my return to the gorges after time away. I picked up trash from the Lower Casc Trail,,,,,,,,,,,,
7/10/2023,11-7,Phillip,75,Cloudy,112,2,0,2,0,2,0,0,Two dogs off leash on Beebe lake trail,Met an amazing doggo named Oliver who now knows he must stay on leash,,,,,,,,,,,,
7/11/2023,11-7,Phillip,81,Partly Cloudy,132,4,0,4,0,4,0,0,Three guys trying to get in the water at lower casc. One dog off leash at Beebe,I saw a deer near hemlock gorge. Have a love hate relationship with deer,,,,,,,,,,,,
7/12/2023,11-7,Phillip,79,Cloudy w rain,146,5,0,1,4,5,0,0,"Many adults roaming the gorges in search of directons, one dog off leash on Beebe trail",Met a professor of horticulture and learned about a few plants on the Beebe lake trail!,,,,,,,,,,,,
7/13/2023,11-7,Phillip,84,Partly Sunny with Thunderstorm,131,2,0,2,0,2,0,0,A guy and a girl were in the water at Hemlock Gorge,Saw a guy wearing dark-colored rain pants on this 84 degree day when there was full sun. I couldn't have handled that heat.,,,,,,,,,,,,
7/14/2023,11-7,Phillip,82,Partly Sunny,146,14,0,12,2,14,0,0,Found five separate parties of people in the water of lower Casc gorge. 3 dogs off leash on Beebe Lake trail,Many violations today but people were in good spirits and weather was nice. Signing off my final time. It has been a pleasure!,,,,,,,,,,,,
7/14/2023,3PM - 7:15PM,Nour,85,"Sunny, humid",152,31,5,9,3,20,0,0,"Big, big day for violations. Lots of people bringing their very young kids (<10yo) swimming in the gorges
1. [LOWER CASC] French tourists dipping toes in water too close to smaller falls (behind a railing); told them where they could do that safely a little further down where there was no gate
2. [LOWER CASC] Two ppl climbed behind a fence in casc; too close to fall; asked them to stay on the right side of the railing
3. [LOWER CASC] Fam swimming next to the second big fall; provided alternate swimming locations
4. [LOWER CASC] Fam swimming by first big fall (like right under it), let them know it was dangerous + provided alternate swimming locations
5. [LOWER CASC] Someone sitting right at the top of one of the bigger falls drinking coffee; asked them to sit elsewhere
6. [LOWER CASC] dad and two toddlers swimming under the first big waterfall, provided alt swim locations (dad was kind of dismissive; one of his kids went I TOLD YOUUUU after I let dad know it wasn’t safe/allowed; child and I bonded over our love of frozen)
7. [LOWER CASC] 2 ppl sitting behind a railing/fence too close to fall, asked them to move to an unrailinged place
8. [LOWER CASC] chatted with some bikers doing a waterfall tour, recommended buttermilk
9. [FALL CREEK] couple ppl asked for directions
10. [FALL CREEK] 12 people trespassing under risley bridge; 5 (one fam) were just sitting on rocks, very nice; two fam (alumni) + their kids swimming under (including directly under) horseshoe falls, had to whistle at them, asked them to leave, alt swim locations","whistles are really, really loud. picked up some trash. saw some cool plants",,,,,,,,,,,,
7/15/2023,11-3,Ally,88,Sunny,101,0,0,0,0,0,0,0,no one looking to break rules or chat today,,,,,,,,,,,,,
7/16/2023,11-3,Ally,85,Sunny,112,0,0,0,2,0,0,0,Gave directions,,,,,,,,,,,,,
7/16/2023,3-Pm-7pm,Vada,81,Toasty and sunny,83,1,1,0,1,2,0,0,"Gave directions by fall creek, ruined someone's guitar picnic in casc but they were a good sport",,,,vape in gorge,,,,,,,,,
7/17/2023,3pm-7pm,Vada,84,hot and humid,98,0,0,0,0,1,0,0,someone looked like they were about to go beyond railing in casc gorge,,,,,,,,,,,,,
7/18/2023,3pm-7pm,Vada,81,hot and humid then rain,58,4,4,0,0,0,0,0,everyone loves that rock in casc,,,,,,,,,,,,,
7/19/2023,3pm-7pm,Vada,78,hot and humid,101,11,11,0,0,0,0,0,water was really flowing which inspired attempts to climb waterfalls for some reason,,,last shift! bye bye!!,,,,,,,,,,
7/23/2023,3pm-7pm,Kaitlyn,81,Sunny,79,2,2,0,0,2,0,0,"2 people on falls near bottom of casc, let them know they couldn't be on the falls and they moved to a flat section instead",,,,,,,,,,,,,
7/24/2023,11am-3pm,Ming,80,Cloudy,107,2,1,1,0,3,0,0,"Two individuals were beyond the fence in Upper Cascadilla. I reminded them of the rules but they insisted they ""had been doing this for 30 years and knew more than me."" Which is fair but also I'm just doing my job?
Talked to a lovely couple briefly, too.",,,,,,,,,,,,,
7/24/2023,3pm-4pm,Maddie R,80,cloudy and thundering until it started pouring,16,0,0,0,0,0,0,0,N/A,,,,,,,,,,,,,
7/25/2023,3pm-6:30pm,Maddy H,76,Partly cloudy,68,0,0,0,0,0,0,0,N/A,"Really nice weather, glad it didn't end up raining :)",,,,,,,,,,,,
7/25/2023,11am-3pm,Maddie R,78,Cloudy,59,0,0,0,1,1,0,0,gave someone directions in between suspension and stewart,,,,,,,,,,,,,
7/26/2023,"3pm-4pm, 4:30pm-7pm",Maddy H,86,"Sunny, partly cloudy",83,1,0,1,0,1,0,0,Person down in the gorge below suspension bridge,,,,,,,,,,,,,
7/27/2023,11am-3pm,Maddy H,82,Cloudy,135,4,0,4,1,5,0,0,"Mostly people swimming in Casc, somebody asked how to get to the slope",Made a little bunny rabbit friend,,,,,,,,,,,,
7/28/2023,11am-3pm,Ainsley R.,85,sunny,144,2,10,2,2,14,0,0,dog off lease. people in off limits area of Cascadia. told 2 groups of people a good area to let theor feet be wet in cacadilla. helped a older couple find a trail and parking. talked to lots of peo0le,found and ate a thimble berry,,,,,,,,,,,,
7/29/2023,11 am-3pm,Maddy H,80,Cloudy,108,0,0,0,1,1,0,0,People asked how to get to botanic gardens when I was near beebe,Mucho raspberries/black raspberries (although mostly picked over),,,,,,,,,,,,
7/30/2023,11 am - 3pm,Ainsley R.,71,sunny,297,4,4,4,0,8,0,0,peo0le in restricted areas of Cas. Man in gorges at tope of bebe lake (probably fishing but packed up really fast),last shift!,,,,,,,,,,,,
7/30/2023,4:30pm-7pm,Nour,74,Sunny,102,0,0,0,0,0,0,0,N/A,Saw a woodpecker!,,,,,,,,,,,,
7/31/2023,11 am - 3pm,Ming,72,Sunny,98,0,0,0,0,0,0,0,none,Wee bit colder today!,,,,,,,,,,,,
8/1/2023,"3pm-5pm, 6pm-7pm",Maddy H,72,Sunny,195,3,0,3,0,3,0,0,"People in the water in Casc, one person fishing in hemlock",Pretty nice weather for a hike :),,,,,,,,,,,,
7/2/2023,11am-3pm,Maddie R,76,Sunny,112,7,3,4,3,10,0,0,"mostly people past fence in casc, also 2 trail bike riders",,,,,,,,,,,,,
8/2/2023,3pm-7pm,Maddy H,78,Sunny,104,3,0,3,0,3,0,0,"Person under the suspension bridge, people in restricted parts of casc",,,,,,,,,,,,,
8/3/2023,11am-3pm,Maddy H,82,Sunny,166,6,0,6,1,7,0,0,"Mostly people swimming in casc, one large dog off a leash, one person asked me where the harry potter library was",Child got unnervingly close to a goose,,,,,,,,,,,,
8/4/2023,3pm-7pm,Kaitlyn,85,Sunny,54,3,1,1,0,1,0,0,"1 guy fishing on top of falls by Beebe lake, said he wasn't from the area and didn't know. 2 Saw 2 girls on top of falls in Casc, attempting to walk down the side, blew whistle and gestured them out. They were gone by the time I got to the top of the stairs",They were calling for severe thunderstorms but the weather was beautiful,,,,,,,,,,,,
8/5/2023,3pm-7:20pm,Nour,77,"Sunny, humid",227,9,1,7,1,10,0,0,"people standing at the top of or under waterfalls in casc; one person fishing in beebe next to a no fishing sign, provided alternatives","The geese were blocking the path to leave beebe!!! very close encounter!!!! also, last shift :""D",,,,,,,,,,,,
8/7/2023,11am-3pm,Maddie R,67,"Cloudy, rainy",57,0,0,0,1,1,0,0,directions to campus,cold today!,,,,,,,,,,,,
8/13/2023,11 an-3pm,Brenner,76,Clear,112,0,0,0,0,4,0,0,lots of people asking for directions,the calm before the move in storm,,,,,,,,,,,,
8/13/2023,3pm-7pm,Kaitlyn,77,"Blue skies, a few clouds",138,2,0,0,2,2,0,0,"Couple taking a picture on top of falls, let them know they couldn't be on the falls",,,,,,,,,,,,,
8/15/2023,11am -3pm,Brenner,75,Cloudy and rainy,72,0,0,0,6,6,0,0,"More and more directions, lots of peopel around bb lake looking for dorms and what not",saw a flock of geese,,,,,,,,,,,,
8/16/2023,11am-3pm,Brenner,78,Cloudy and a little rainy again,86,0,0,0,7,7,0,0,Directions near bebe again,move in looks awful,,,,,,,,,,,,
8/17/2023,11am-7pm,Brenner,81,sunny and warm,241,6,0,6,3,9,0,0,"Lots of people sitting on rocks in cascidilla, just advised them that it was dangerous and they should move",,,,,,,,,,,,,
8/18/2023,11am-3pm,Brenner,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2023,3pm-7pm,Kaitlyn,70,Sunny,154,2,0,2,1,6,0,0,"2 people fishing in BB, 1 guy asked for directions, took photo for family of 3",,,,,,,,,,,,,
8/31/2023,3pm-7pm,Kaitlyn,70,Sunny,143,2,0,2,1,3,0,0,"Saw 2 guys in the water from the top of Thurston Ave bridge, whistled but they didn't look. Walked down there and met them walking back up. I told them they couldn't be in the water but had some language barrier. They explained that they were collecting tennis balls that had rolled down there and had slipped and fallen in. I said that was why they couldn't be in the water but I don't think they understood. Gave 1 guy directions",Last shift!,,,,,,,,,,,,
5/21/2022,9:30AM-2:30PM,Phillip,93 F,Sunny,67,2,,,,,0,0,Two people swimming in the hemlock gorge area but happily left when asked,I saw a cool butterfly loafing around upper casc,,,,,,,,,,,,
5/22/2022,1pm-3:30pm,"Mark, Natalie, Anabella",82,Sun / t-storms likely,37,0,,,,,0,0,"None, really.","Anabela dumped her bike quite a few times, but didn't get hurt....much!",,,,,,,,,,,,
5/22/2022,11am-7pm,David,82,Mostly cloudy/ t-storms,192,14,,,,,0,0,"5 people in swimming hole upstream of tennis courts, 2 people swimming in cascadilla, 5 people wading in the water and drinking at casc right after the thunderstorm, 2 people sitting in casc past the fence,","Lugged someone's soggy notebook out of casc along with some other miscellaneous garbage, also cleared a tree branch that was near the entrance to cascadilla",,,,,,,,,,,,
5/23/2022,11am-7pm,Jen,65,"overcast, light wind",155,1,,,,,0,0,"asked family to not wade in cascadilla, they said ok and left",Surveyers taking scans of casc gorge wall in morning for future retaining wall. Gate down into fall creek now open,,,,,,,,,,,,
5/24/2022,11am-7pm,David,71,partly cloudy,219,3,,,,,0,0,"2 people with a tripod taking photos in the water at cascadilla under big waterfall, one guy playing ukulele on the rocks of upper casc by the water",took out some trash,,,,,,,,,,,,
5/25/2022,11am-7pm,Jen,75,mostly clear,162,12,,,,,0,0,"2 off leash dogs, 7 wading in casc gorge waterfalls, 3 going to wade in fall creek near stone picnic bench","carried chair out of casc gorge, 8 ducklings, some goslings (would've counted but parents started hissing)",,,,,,,,,,,,
5/26/2022,11am-7pm,Phillip,78,Partly Cloudy,206,4,,,,,0,0,"3 swimming in lower cascadilla, 1 off leash dog",Cleaned trash. Mean goose on Beebe Lake trail,,,,,,,,,,,,
5/27/2022,11am to 7pm,David,73,Mostly cloudy / rain,170,0,,,,,0,0,none,"Cleaned some trash from casc. Tons of people from graduation, but everyone following da rules :)",,,,,,,,,,,,
5/27/2022,11am-7pm,Jen,73,Lots of rain and humidity,107,0,,,,,0,0,none,"most people in gorges were there for pictures, otherwise rain and graduation seemed to keep them away. Dodged rain in middle of day around 2 hrs before resuming route",,,,,,,,,,,,
5/28/2022,11AM-7PM,Philip,70,Rain in the morning then partly cloudy,64,0,,,,,0,0,none,Rain and graduation kept most people busy. A few people asked me to take photos of them,,,,,,,,,,,,
5/28/2022,11am-3pm,Jen,70,Rain in the morning then partly cloudy,87,0,,,,,0,0,none,most people were either on their way to graduation or taking photos. Cleared out when ceremony started. One family asked for directions to bridge over fall creek,,,,,,,,,,,,
5/29/2022,11Am-7PM,David,79,Mostly sunny,308,19,,,,,0,0,"3 people swimming in casc, one kid running around and swimming in casc, 4 people swimming in casc, one guy asked me if swimming was allowed in casc and I told him alternative options, 10 people drinking and swimming at the swimming hole upstream of the tennis courts, one dude fishing at hemlock gorge","Hordes of people at casc in the afternoon, took out some trash",,,,,,,,,,,,
5/30/2022,11am-7pm,Jen,88,Sunny and muggy,287,36,,,,,1,9,"Most violations swimming/wading in casc, or animals off leash. 5 people wading in fall creek below the picnic area, left without issue once asked to leave, 4 swimming near ezra's tunnel and took so long to leave CUPD got called but left moments before they arrived. Saw a rock fall in hemlock gorge",,,,,,,,,,,,,
5/31/2022,11am-7pm,Jen,90,partially cloudy and muggy,113,11,,,,,0,0,"9 wading or dog off leash in casc, 2 in process of hopping fence in fall creek picnic area as I went by. All complied amicably. Snake swimming upriver in casc",,,,,,,,,,,,,
6/1/2022,12am-7pm,David,84,Cloudy w/ t-storms,62,4,,,,,0,0,"All violations were around 12-1 when it was still hot before the storms. 2 people wading in casc, 2 more people wading in casc, 2 people in spot upstream of tennis courts. I had some laughs with people while we were all drenched during the storms",,,,,,,,,,,,,
6/2/2022,11am-7pm,Jen,76,cloudy and humid,156,4,,,,,0,0,all people going off trail in casc gorge. Momma duck down to 7 ducklings :(,,,,,,,,,,,,,
6/3/2022,11am-7pm,Brenner,73,humid and sunny,96,2,,,,,0,0,"people off trail in casc, low number of interactions but tons of people in a schol group. Hungout with some ducklings!",People taking pictures in the falls,,,,,,,,,,,,
6/4/2022,11am-7pm,Jen,70,cool and breezy,283,10,,,,,0,0,"All minor instances of off trail, mostly in casc, 1 in fall creek where the guy was confused about the map he'd seen",gave directions to visiting parents,,,,,,,,,,,,
6/5/2022,11am-7pm,Brenner,76,Sunny,126,4,,,,,0,0,"Mostly ""hi"" ""how are you"", saw a dude fishing",,,,,,,,,,,,,
6/6/2022,11am-7pm,Brenner,82,Cloudy,75,0,,,,,0,0,"Literally no one in the gorges, kinda strange For reference counted under 15 cascadilla all day",,,,,,,,,,,,,
6/7/2022,11am-7pm,Jen,72,rainey,47,0,,,,,0,0,pretty much everyone cleared out when it started raining. Patrolled on foot so as to make use of umbrella.,,,,,,,,,,,,,
6/8/2022,11am-7pm,Brenner,80,cloudy,68,0,,,,,0,0,"very few in casc today, an older gentleman asked me for directions",,,,,,,,,,,,,
6/9/2011,11am-7pm,Jen,68,damp and cool,109,4,,,,,0,3,"3 people in fall creek off trail, one dog off leash. First day of 50 yr reunion so many retirees on trails","Water running high, if not for reunion trail use would be much lower. Spotted deer on island of Beebe lake",,,,,,,,,,,,
6/10/2022,11am -7pm,Brenner,70,partly cloudy,137,3,,,,,0,0,"Cornell Reunion, if I hear anything else about how ""the gorges were different in my day"" im going to flip out","lots of old folks out and about, ran into one of the classes doing a reunion",,,,,,,,,,,,
